date,USD
08/01/1388,9913.633333333333
09/01/1388,9948.5
10/01/1388,9989.866666666667
11/01/1388,10020.933333333332
12/01/1388,9970.034482758621
01/01/1389,9982.032258064517
02/01/1389,10206.645161290322
03/01/1389,10407.354838709678
04/01/1389,10402.838709677419
05/01/1389,10415.41935483871
06/01/1389,10435.129032258064
07/01/1389,10413.966666666667
08/01/1389,10372.0
09/01/1389,10364.966666666667
10/01/1389,10369.4
11/01/1389,10337.166666666666
12/01/1389,10315.310344827587
01/01/1390,10399.774193548386
02/01/1390,10490.935483870968
03/01/1390,11025.806451612903
04/01/1390,10649.741935483871
05/01/1390,10560.774193548386
06/01/1390,10634.870967741936
07/01/1390,10672.3
08/01/1390,10807.2
09/01/1390,10923.5
10/01/1390,11199.166666666666
11/01/1390,12034.5
12/01/1390,12260.0
01/01/1391,12260.0
02/01/1391,12260.0
03/01/1391,12260.0
04/01/1391,12260.0
05/01/1391,12260.0
06/01/1391,12260.0
07/01/1391,12260.0
08/01/1391,12260.0
09/01/1391,12260.0
10/01/1391,12260.0
11/01/1391,12260.0
12/01/1391,12260.0
01/01/1392,12260.0
02/01/1392,12260.0
03/01/1392,12260.0
04/01/1392,20340.0
05/01/1392,24790.0
06/01/1392,24787.09677419355
07/01/1392,24857.533333333333
08/01/1392,24877.1
09/01/1392,24806.533333333333
10/01/1392,24795.466666666667
11/01/1392,24868.133333333335
12/01/1392,24950.03448275862
01/01/1393,25418.032258064515
02/01/1393,25519.774193548386
03/01/1393,25590.74193548387
04/01/1393,25819.25806451613
05/01/1393,26389.967741935485
06/01/1393,26618.354838709678
07/01/1393,26675.6
08/01/1393,26731.833333333332
09/01/1393,26907.866666666665
10/01/1393,27225.433333333334
11/01/1393,27531.133333333335
12/01/1393,27844.931034482757
01/01/1394,28120.483870967742
02/01/1394,28433.451612903227
03/01/1394,28942.90322580645
04/01/1394,29406.225806451614
05/01/1394,29693.225806451614
06/01/1394,29942.74193548387
07/01/1394,29954.3
08/01/1394,29961.633333333335
09/01/1394,30080.433333333334
10/01/1394,30149.133333333335
11/01/1394,30183.266666666666
12/01/1394,30207.758620689656
01/01/1395,30267.129032258064
02/01/1395,30330.967741935485
03/01/1395,30476.90322580645
04/01/1395,30763.8064516129
05/01/1395,31005.774193548386
06/01/1395,31273.935483870966
07/01/1395,31533.233333333334
08/01/1395,31863.5
09/01/1395,32154.0
10/01/1395,32359.6
11/01/1395,32371.4
12/01/1395,32410.366666666665
01/01/1396,32428.677419354837
02/01/1396,32442.645161290322
03/01/1396,32454.225806451614
04/01/1396,32561.83870967742
05/01/1396,32811.903225806454
06/01/1396,33306.87096774193
07/01/1396,34007.86666666667
08/01/1396,34983.566666666666
09/01/1396,35423.3
10/01/1396,36209.46666666667
11/01/1396,36932.53333333333
12/01/1396,37423.58620689655
01/01/1397,39255.45161290323
02/01/1397,42001.6129032258
03/01/1397,42218.8064516129
04/01/1397,42963.709677419356
05/01/1397,42972.903225806454
06/01/1397,42000.0
07/01/1397,42000.0
08/01/1397,42000.0
09/01/1397,42000.0
10/01/1397,42000.0
11/01/1397,42000.0
12/01/1397,42000.0
01/01/1398,42000.0
